Track[name=Drive By,artist=Train,duration=195,color=java.awt.Color[r=234,g=21,b=75],day=-1,graphHeight=63199], 207485822, 1700849435
Track[name=All This and Heaven Too,artist=Florence + the Machine,duration=246,color=java.awt.Color[r=225,g=30,b=201],day=-1,graphHeight=62953], 1848251273, -1253944974
Track[name=No Light, No Light,artist=Florence + the Machine,duration=275,color=java.awt.Color[r=52,g=203,b=67],day=-1,graphHeight=62678], 208191456, -643791207
Track[name=Heartlines,artist=Florence + the Machine,duration=302,color=java.awt.Color[r=238,g=17,b=197],day=-1,graphHeight=62376], 822940029, -608361136
Track[name=Payphone - Explicit Version,artist=Maroon 5,duration=231,color=java.awt.Color[r=138,g=117,b=27],day=-1,graphHeight=62144], 1358380723, 1907410590
Track[name=Call My Name,artist=Cheryl Cole,duration=44,color=java.awt.Color[r=122,g=133,b=57],day=-1,graphHeight=61925], 406160204, -756908349
Track[name=Payphone,artist=Maroon 5,duration=231,color=java.awt.Color[r=242,g=13,b=200],day=-1,graphHeight=61693], 1631518462, -577600373
Track[name=Wild Ones - feat. Sia,artist=Flo Rida,duration=234,color=java.awt.Color[r=113,g=142,b=117],day=-1,graphHeight=61401], 1859585938, -1031156766
Track[name=Need You Now,artist=Lady Antebellum,duration=232,color=java.awt.Color[r=86,g=169,b=71],day=-1,graphHeight=61164], 1731345175, -1675945020
Track[name=Silhouettes - Original Radio Edit,artist=Avicii,duration=212,color=java.awt.Color[r=14,g=241,b=119],day=-1,graphHeight=60952], 314939375, -2127031467
Track[name=Starships,artist=Nicki Minaj,duration=209,color=java.awt.Color[r=135,g=120,b=88],day=-1,graphHeight=60741], 1973059426, 942957276
Track[name=R.I.P. featuring Tinie Tempah,artist=Rita Ora,duration=229,color=java.awt.Color[r=247,g=8,b=202],day=-1,graphHeight=60511], 1914779455, -1429553610
Track[name=Somebody That I Used To Know,artist=Gotye,duration=245,color=java.awt.Color[r=39,g=216,b=215],day=-1,graphHeight=60266], 1655849890, -1000178427
Track[name=My Kind of Love,artist=Emeli Sandé,duration=203,color=java.awt.Color[r=205,g=50,b=24],day=-1,graphHeight=60068], 628519757, -1733793156
Track[name=Express Yourself,artist=Labrinth,duration=243,color=java.awt.Color[r=249,g=6,b=199],day=-1,graphHeight=59824], 59496306, 185710189
